monitoringlocationid,monitoringlocationname,monitoringlocationlatitude,monitoringlocationlongitude,count,mean,median,min,max
6008000402,Etobicoke Creek : At Hwy.10 1.2 Miles N-W Of Snelgrove,43.74456201,-79.83929211,2435,119.68994936344968,6.9,0.0,39168.0
6008000502,"Etobicoke Creek : Marie Curtis Park, ,200M South Of Lakeshore Blvd",43.58740901,-79.54482023,443,436.39264882618505,10.1,-1.55,32000.0
6008000602,Etobicoke Creek 80006,43.60505564,-79.55975311,912,633.3298881578947,57.0,0.0,14124.0
6008000602,"Etobicoke Creek : Qew,  Etobicoke",43.60505564,-79.55975311,6875,221.72487260363636,8.1,-892.0,14605.0
6008000702,Etobicoke Creek 80007,43.67833161,-79.67950826,1925,330.62214836363637,17.3,0.0,10194.0
6008000702,"Etobicoke Creek West : North Of Derry,  East Of Dixie",43.67833164,-79.67950823,5206,135.56175916000768,7.985,-205.0,9919.0
6008200102,Mimico Creek : Highway 2 Mimico,43.62198864,-79.48194336,5402,204.73160662717513,5.2,0.0,12941.0
6008200202,Mimico Creek : Richview Side Road Etobicoke,43.67286489,-79.56929498,2575,214.90290260194178,4.0,-1.15,8100.0
6008200302,Mimico Creek 82003,43.62847489,-79.49287136,916,812.2485906113537,50.0,0.0,20482.0
6008200302,"Mimico Creek : The Queensway,  Etobicoke",43.62847489,-79.49287136,6976,284.5073220455849,8.2,-467.0,24880.0
6008300102,Humber River : Lakeshore Road Toronto,43.63304564,-79.47329636,10229,116.75109443738391,2.97,0.0,33795.0
6008300202,Humber River 83002,43.73686685,-79.6283182,4097,202.32505923358556,15.0,0.0,18600.0
6008300202,Humber River West : Claireville Dam Outlet Claireville,43.73686614,-79.62831823,3981,227.35677101230846,6.0,-2.7,525500.0
6008300302,Humber River : Highway 7 Woodbridge,43.78020989,-79.59121348,4066,88.8808386424004,7.0,-2.55,1349.0
6008300402,Humber River 83004,43.79806764,-79.58105773,3904,149.90632599795083,12.25,0.0,5750.0
6008300402,Humber River East : At Bridge Pine Grove Road,43.79806764,-79.58105773,4081,95.15972919627542,5.2,-3.67,1115.0
6008300502,Humber River : York Peel County Line Bolton,43.88640089,-79.71736561,3641,84.55374114254326,4.5,0.0,940.0
6008300602,Humber River Tributary : At Teston Side Road Concession 5,43.86423776,-79.55816261,1027,119.40267088607595,4.5,0.0,2690.0
6008300702,Humber River Tributary : At Side Road 31 Concession 5,43.87197376,-79.55543998,923,401.5534127843987,10.0,0.0,21961.0
6008300802,Humber River : At Moe Laboratory,43.71106039,-79.53937411,147,129.30956462585036,34.0,0.001,568.0
6008300902,"Cold Creek : King Rd,  Reg Rd 9,  Bolton",43.88810001,-79.71795598,5551,82.58338180381912,6.59,-17.4,5569.0
6008300902,Humber River 83009,43.88810002,-79.71795598,2021,127.70735180603661,14.3,0.0,4200.0
6008301002,Humber River East : At First Concession East Of Nobleton,43.90472414,-79.62788911,372,123.82351182795699,5.5,0.0,995.0
6008301102,Humber River East : 1St.Conc.East Of 401 Above Kinghorn,43.92475101,-79.55451236,350,113.51906000000001,5.0,0.0,1130.0
6008301202,Black Creek : At Scarlett Road Toronto,43.67484451,-79.50532261,3158,292.8075468651045,5.0,-1.2,12810.0
6008301202,Humber River 83012,43.67484451,-79.50532261,4272,404.40573420014044,12.815000000000001,0.0,83000.0
