activity_datetime,characteristicname,count,mean,median,min,max,year,month,month_name
1966-05-31,Chloride,20,76.25,49.5,4.0,236.0,1966,5,May
1966-05-31,Dissolved oxygen (DO),10,12.0,12.0,9.0,15.0,1966,5,May
1966-05-31,Kjeldahl nitrogen,27,4.7551851851851845,1.5,0.2,23.0,1966,5,May
1966-05-31,Specific conductance,23,765.1739130434783,622.0,436.0,1421.0,1966,5,May
1966-05-31,"Temperature, water",10,9.7,10.0,0.0,15.0,1966,5,May
1966-05-31,"Total Phosphorus, mixed forms",27,4544.379259259259,0.49,0.02,32124.0,1966,5,May
1966-06-30,Chloride,29,83.65517241379311,53.0,17.0,248.0,1966,6,June
1966-06-30,Dissolved oxygen (DO),16,9.875,10.0,6.0,13.0,1966,6,June
1966-06-30,Kjeldahl nitrogen,33,4.767878787878788,1.55,0.4,18.5,1966,6,June
1966-06-30,Specific conductance,20,883.6,804.0,497.0,1570.0,1966,6,June
1966-06-30,"Temperature, water",16,23.03125,22.25,20.0,27.0,1966,6,June
1966-06-30,"Total Phosphorus, mixed forms",30,4006.7490000000003,1.86,0.11,30163.0,1966,6,June
1966-07-31,Chloride,29,126.10344827586206,69.0,11.0,676.0,1966,7,July
1966-07-31,Dissolved oxygen (DO),22,9.045454545454545,9.5,3.0,12.0,1966,7,July
1966-07-31,Kjeldahl nitrogen,26,4.429230769230769,1.0750000000000002,0.13,23.5,1966,7,July
1966-07-31,Specific conductance,21,956.3809523809524,916.0,378.0,2690.0,1966,7,July
1966-07-31,"Temperature, water",22,21.068181818181817,20.0,18.0,27.0,1966,7,July
1966-07-31,"Total Phosphorus, mixed forms",34,3429.724117647059,0.9,0.03,20915.0,1966,7,July
1966-08-31,Chloride,27,83.51851851851852,74.0,11.0,201.0,1966,8,August
1966-08-31,Dissolved oxygen (DO),23,7.617391304347826,7.0,3.0,13.0,1966,8,August
1966-08-31,Kjeldahl nitrogen,35,3.168285714285714,1.4,0.07,18.0,1966,8,August
1966-08-31,Specific conductance,31,742.1935483870968,599.0,331.0,1557.0,1966,8,August
1966-08-31,"Temperature, water",23,21.391304347826086,20.0,17.5,29.0,1966,8,August
1966-08-31,"Total Phosphorus, mixed forms",37,3518.162702702703,0.58,0.02,21961.0,1966,8,August
1966-09-30,Chloride,34,62.38235294117647,42.0,1.0,243.0,1966,9,September
1966-09-30,Dissolved oxygen (DO),22,7.7727272727272725,8.0,5.0,11.0,1966,9,September
1966-09-30,Kjeldahl nitrogen,35,4.428,1.95,0.13,23.5,1966,9,September
1966-09-30,Specific conductance,26,673.0769230769231,641.5,21.0,1500.0,1966,9,September
1966-09-30,"Temperature, water",22,16.75,16.75,14.0,19.0,1966,9,September
1966-09-30,"Total Phosphorus, mixed forms",39,2434.340948717949,0.61,0.007,13203.0,1966,9,September
1966-10-31,Chloride,30,77.66666666666667,54.0,9.0,238.0,1966,10,October
